Date,Day_of_the_week,App ,Minutes,Category
8/25,Friday,INSTAGRAM,190,Social Media
8/25,Friday,DOORDASH,12,Other
8/25,Friday,SAFARI,40,Other
8/26,Saturday,INSTAGRAM,185,Social Media
8/26,Saturday,TIKTOK,170,Social Media
8/26,Saturday,SETTINGS,10,Other
8/26,Saturday,PHOTOS,20,Other
8/27,Sunday,TIKTOK,360,Entertainment
8/27,Sunday,INSTAGRAM,134,Social Media
8/27,Sunday,MESSAGES ,54,Social Media
8/27,Sunday,SPOTIFY,50,Other
8/28,Monday,CLOCK,12,Other
8/28,Monday,CALENDER ,7,Other
8/28,Monday,MESSAGES ,21,Social Media
8/28,Monday,SPOTIFY,189,Other
8/29,Tuesday,INSTAGRAM,120,Social Media
8/29,Tuesday,TIKTOK,63,Entertainment
8/29,Tuesday,DOORDASH,15,Other
8/29,Tuesday,SAFARI,13,Other
8/30,Wednesday,INSTAGRAM,185,Social Media
8/30,Wednesday,MESSAGES ,90,Social Media
8/30,Wednesday,NOTES,63,Other
8/30,Wednesday,TIKTOK,34,Entertainment
8/31,Thursday,INSTAGRAM,102,Social Media
8/31,Thursday,MESSAGES ,28,Other
8/31,Thursday,SETTINGS,9,Other
8/31,Thursday,PHOTOS,23,Other
8/31,Thursday,CAMERA,5,Other
8/31,Thursday,YOUTUBE,7,Entertainment
8/31,Thursday,CALCULATOR,2,Other